week,rate,category,variable
2020-04-23T00:00:00Z,4.4259237839693684e-4,student county,cases
2020-04-23T00:00:00Z,2.8534642692389266e-5,student county,deaths
2020-04-30T00:00:00Z,4.534564854770667e-4,student county,cases
2020-04-30T00:00:00Z,2.3822499862453424e-5,student county,deaths
2020-05-07T00:00:00Z,4.005757714966756e-4,student county,cases
2020-05-07T00:00:00Z,2.0768333213420935e-5,student county,deaths
2020-05-14T00:00:00Z,3.8844636680480374e-4,student county,cases
2020-05-14T00:00:00Z,1.6405238000517375e-5,student county,deaths
2020-05-21T00:00:00Z,3.5991172411241443e-4,student county,cases
2020-05-21T00:00:00Z,1.2696607069549352e-5,student county,deaths
2020-05-28T00:00:00Z,3.687688073946087e-4,student county,cases
2020-05-28T00:00:00Z,1.5401726101549557e-5,student county,deaths
2020-06-04T00:00:00Z,3.6235505743164047e-4,student county,cases
2020-06-04T00:00:00Z,1.0078749941807218e-5,student county,deaths
2020-06-11T00:00:00Z,4.4442487838635634e-4,student county,cases
2020-06-11T00:00:00Z,7.853571383226404e-6,student county,deaths
2020-06-18T00:00:00Z,5.86225472805722e-4,student county,cases
2020-06-18T00:00:00Z,7.98446423961351e-6,student county,deaths
2020-06-25T00:00:00Z,8.124083286426424e-4,student county,cases
2020-06-25T00:00:00Z,6.457380915097265e-6,student county,deaths
2020-07-02T00:00:00Z,9.365820184018776e-4,student county,cases
2020-07-02T00:00:00Z,7.155476149161834e-6,student county,deaths
2020-07-09T00:00:00Z,0.0010673876128847262,student county,cases
2020-07-09T00:00:00Z,7.19910710129087e-6,student county,deaths
2020-07-16T00:00:00Z,0.0010798660651936305,student county,cases
2020-07-16T00:00:00Z,9.555178516258791e-6,student county,deaths
2020-07-23T00:00:00Z,0.0010886795175236957,student county,cases
2020-07-23T00:00:00Z,1.3351071351484886e-5,student county,deaths
2020-07-30T00:00:00Z,9.82350887185236e-4,student county,cases
2020-07-30T00:00:00Z,1.4310952298323668e-5,student county,deaths
2020-08-06T00:00:00Z,8.945217805494874e-4,student county,cases
2020-08-06T00:00:00Z,1.3394702303613921e-5,student county,deaths
2020-08-13T00:00:00Z,8.086560667595453e-4,student county,cases
2020-08-13T00:00:00Z,1.2652976117420317e-5,student county,deaths
2020-08-20T00:00:00Z,0.0010673876128847262,student county,cases
2020-08-20T00:00:00Z,1.3263809447226814e-5,student county,deaths
2020-08-27T00:00:00Z,0.0014190530870447531,student county,cases
2020-08-27T00:00:00Z,1.2347559452517067e-5,student county,deaths
2020-09-03T00:00:00Z,0.0015016464794250174,student county,cases
2020-09-03T00:00:00Z,1.0035118989678182e-5,student county,deaths
2020-09-10T00:00:00Z,0.0014860702295149517,student county,cases
2020-09-10T00:00:00Z,1.3831011824904276e-5,student county,deaths
2020-09-17T00:00:00Z,0.001416653384677656,student county,cases
2020-09-17T00:00:00Z,1.3831011824904276e-5,student county,deaths
2020-09-24T00:00:00Z,0.0013891658848363636,student county,cases
2020-09-24T00:00:00Z,1.3918273729162348e-5,student county,deaths
2020-10-01T00:00:00Z,0.0013758148134848788,student county,cases
2020-10-01T00:00:00Z,1.2696607069549352e-5,student county,deaths
2020-10-08T00:00:00Z,0.0014940110628024362,student county,cases
2020-10-08T00:00:00Z,1.2783868973807424e-5,student county,deaths
2020-10-15T00:00:00Z,0.0016242494549076074,student county,cases
2020-10-15T00:00:00Z,1.518357134090438e-5,student county,deaths
2020-10-22T00:00:00Z,0.0018478580845689146,student county,cases
2020-10-22T00:00:00Z,1.727785704309809e-5,student county,deaths
2020-10-29T00:00:00Z,0.0024396683192471533,student county,cases
2020-10-29T00:00:00Z,2.316803558051789e-5,student county,deaths
2020-11-05T00:00:00Z,0.003220967779021793,student county,cases
2020-11-05T00:00:00Z,2.129190463896936e-5,student county,deaths
2020-11-12T00:00:00Z,0.0039089842631445555,student county,cases
2020-11-12T00:00:00Z,2.6833035559356876e-05,student county,deaths
2020-11-19T00:00:00Z,0.003963610215210108,student county,cases
2020-11-19T00:00:00Z,3.350857123509932e-5,student county,deaths
2020-11-26T00:00:00Z,0.0032866759929281206,student county,cases
2020-11-26T00:00:00Z,3.193785695845404e-5,student county,deaths
2020-12-03T00:00:00Z,0.003931105155873976,student county,cases
2020-12-03T00:00:00Z,4.3630952129035574e-5,student county,deaths
2020-12-10T00:00:00Z,0.0030900749226346865,student county,cases
2020-12-10T00:00:00Z,4.1929344996003185e-5,student county,deaths
