FIPS.y,original,comparison,original_pop,comparison_pop,original_college_share,comparison_college_share
51145,"Fredericksburg city, Virginia","Powhatan County, Virginia",28469,28574,0.1538164319083916,0.035416812486876184
51163,"Prince Edward County, Virginia","Rockbridge County, Virginia",22956,22509,0.23227043038856943,0.035008218934648366
51165,"Lynchburg city, Virginia","Rockingham County, Virginia",80131,79444,0.2268410477842533,0.05679472332712351
51177,"Hampton city, Virginia","Spotsylvania County, Virginia",135583,131412,0.10142864518413075,0.05774206312969896
51191,"Harrisonburg city, Virginia","Washington County, Virginia",53391,54406,0.3238186211159184,0.049902584273793335
51193,"Radford city, Virginia","Westmoreland County, Virginia",17630,17638,0.43641520136131595,0.03838303662546774
51550,"Norfolk city, Virginia","Chesapeake city, Virginia",245592,237820,0.1226057852047298,0.07335379698931965
51770,"Montgomery County, Virginia","Roanoke city, Virginia",97997,99621,0.29929487637376656,0.050692123146726095
53005,"Whatcom County, Washington","Benton County, Washington",216812,194168,0.11072265372765346,0.049065757488360597
53065,"Kittitas County, Washington","Stevens County, Washington",44825,44214,0.19190184049079756,0.026756231058035915
54003,"Monongalia County, West Virginia","Berkeley County, West Virginia",105252,113495,0.21953977121574886,0.058725053967135114
54101,"Gilmer County, West Virginia","Webster County, West Virginia",8205,8518,0.12492382693479585,0.02218830711434609
55005,"Dunn County, Wisconsin","Barron County, Wisconsin",44498,45252,0.16429951907950918,0.028705913550782287
55115,"Pierce County, Wisconsin","Shawano County, Wisconsin",41603,41009,0.13181741701319616,0.03165158867565656
55117,"La Crosse County, Wisconsin","Sheboygan County, Wisconsin",117850,115205,0.1308103521425541,0.050110672279848965
55127,"Eau Claire County, Wisconsin","Walworth County, Wisconsin",102991,103013,0.13042887242574594,0.09519186898740936
55133,"Dane County, Wisconsin","Waukesha County, Wisconsin",529843,398879,0.11906923371640278,0.057042361217311516
55135,"Grant County, Wisconsin","Waupaca County, Wisconsin",51828,51444,0.13261171567492475,0.02906072622657647
55141,"Portage County, Wisconsin","Wood County, Wisconsin",70599,73274,0.1312766469780025,0.0403144362256735
56013,"Albany County, Wyoming","Fremont County, Wyoming",38102,40076,0.3053907931342187,0.04454037329074758
72137,"Mayagüez Municipio, Puerto Rico","Toa Baja Municipio, Puerto Rico",77255,79726,0.13926606692123486,0.07555878885181748
